Cgs X,Cgs Y
1,1.419584409525367e-14
2,1.400617709314663e-14
3,1.406947873378738e-14
4,1.40536651918252e-14
5,1.408213798535535e-14
6,1.406948051247421e-14
7,1.41146735804644e-14
8,1.414856759114077e-14
9,1.413274601373183e-14
10,1.4139070738614e-14
11,1.412698852935749e-14
12,1.413273844921279e-14
13,1.412300177536145e-14
14,1.41146559227947e-14
15,1.410742274439992e-14
16,1.411295760799335e-14
17,1.412900733975914e-14
18,1.410109066121457e-14
19,1.412606613725191e-14
20,1.412007046583659e-14
