ids X,ids Y,gm X,gm Y,vov X,vov Y,ids X,ids Y,gm X,gm Y,vov X,vov Y,ids X,ids Y,gm X,gm Y,vov X,vov Y
0,7.693563466177575e-17,0,2.210487327564981e-15,0,-0.1371161644384724,0,7.973869396168092e-14,0,7.076940406022039e-13,0,0.06288383556164578,0,1.609285871971707e-12,0,5.601405329220333e-12,0,0.2628838355623451
0.1,0.0005315035065320235,0.1,0.01582526429513878,0.1,-0.1371161641251609,0.1,0.04108080763839764,0.1,0.5085747383766076,0.1,0.06285822669347108,0.1,0.1768678205852893,0.1,0.7543166002457621,0.1,0.26277359870723
0.2,0.0005637911126962914,0.2,0.01678156306220471,0.2,-0.1371161638118455,0.2,0.04619985872173407,0.2,0.6232343194929932,0.2,0.06285503613683185,0.2,0.2683724826841167,0.2,1.438015758255402,0.2,0.2627165883191109
0.3,0.0005880892117638306,0.3,0.0174881749037115,0.3,-0.1371161634985301,0.3,0.04774237952740212,0.3,0.6450902996758192,0.3,0.0628540749427699,0.3,0.2972603329879567,0.3,1.82012605244276,0.3,0.2626985971944016
0.4,0.0006107052235017211,0.4,0.01814342610161784,0.4,-0.1371161631852146,0.4,0.04897386883995463,0.4,0.6601634630131138,0.4,0.062853307627734,0.4,0.3066190902284019,0.4,1.916492671776925,0.4,0.2626927688692262
0.5,0.0006322392656770599,0.5,0.01876591253327387,0.5,-0.1371161628718991,0.5,0.05007623218790196,0.5,0.6730925039406893,0.5,0.06285262080350956,0.5,0.3129598212579935,0.5,1.961537670803455,0.5,0.26268881982312
0.6,0.0006528265735803863,0.6,0.01935986513114933,0.6,-0.1371161625585837,0.6,0.05108137774114625,0.6,0.6845640815968036,0.6,0.06285199458004881,0.6,0.3182843772163879,0.6,1.995546546708206,0.6,0.2626855037188645
0.7,0.0006725178970957374,0.7,0.01992691335855447,0.7,-0.1371161622452683,0.7,0.05200097241778572,0.7,0.6948004349108124,0.7,0.06285142168450014,0.7,0.3229271939349356,0.7,2.024028074528363,0.7,0.2626826122693487
0.8,0.0006913460482407664,0.8,0.0204681244994278,0.8,-0.1371161619319529,0.8,0.05284212156190778,0.8,0.7039249275657607,0.8,0.06285089768748864,0.8,0.3269999599158604,0.8,2.048381415859567,0.8,0.2626800758990876
0.9,0.0007093428590042469,0.9,0.02098452096295007,0.9,-0.1371161616186374,0.9,0.05361068152876263,0.9,0.7120329197594266,0.9,0.06285041893824739,0.9,0.3305657154763593,0.9,2.069218330908972,0.9,0.2626778553337869
1,0.0007265440840596196,1,0.0214772298902168,1,-0.137116161305322,1,0.0543121735938217,1,0.719210590542901,1,0.06284998199493924,1,0.3336730420004459,1,2.086934536833182,1,0.2626759203071478
