Cgd X,Cgd Y
1,4.199477023535776e-16
2,4.201079109979271e-16
3,4.201864788533032e-16
4,4.202341976945051e-16
5,4.202666521868468e-16
6,4.202903388369289e-16
7,4.203084833890069e-16
8,4.203228821192714e-16
9,4.203346202942928e-16
10,4.203443949725091e-16
11,4.203526757351216e-16
12,4.203597912578736e-16
13,4.203659789309287e-16
14,4.203714147734069e-16
15,4.203762320071328e-16
16,4.203805342399728e-16
17,4.203844022900224e-16
18,4.203879007873841e-16
19,4.203910819382392e-16
20,4.203939884015476e-16
